YEAR,COUNTY,MSSA_ID,MSSA_NAME,MSSA_TYPE,Race_ethnicity,Population,Adolescent_births,Indicator,Annotation,Indicator_rate,Indicator_ll,Indicator_ul
2010-2012,Napa,112.1,Napa Central,Urban,ASIAN,98,0,ABR,,0,,
2010-2012,Napa,112.1,Napa Central,Urban,ASIAN,98,0,PRB,,0,,
2010-2012,Napa,112.1,Napa Central,Urban,ASIAN,98,0,PBHP,,0,,
2010-2012,Napa,112.2,Napa Northeast/Rutherford/Yountville,Rural,ASIAN,40,0,ABR,,0,,
2010-2012,Napa,112.2,Napa Northeast/Rutherford/Yountville,Rural,ASIAN,40,0,PRB,,0,,
2010-2012,Napa,112.2,Napa Northeast/Rutherford/Yountville,Rural,ASIAN,40,0,PBHP,,0,,
2010-2012,Napa,112.2,Napa Northeast/Rutherford/Yountville,Rural,BLACK,6,0,ABR,,0,,
2010-2012,Napa,112.2,Napa Northeast/Rutherford/Yountville,Rural,BLACK,6,0,PRB,,0,,
2010-2012,Napa,112.2,Napa Northeast/Rutherford/Yountville,Rural,BLACK,6,0,PBHP,,0,,
2010-2012,Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,ASIAN,87,0,ABR,,0,,
2010-2012,Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,ASIAN,87,0,PRB,,0,,
2010-2012,Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,ASIAN,87,0,PBHP,,0,,
2010-2012,Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,BLACK,37,0,ABR,,0,,
2010-2012,Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,BLACK,37,0,PRB,,0,,
2010-2012,Nevada,113,Grass Valley/Nevada City/Penn Valley/Rough and Ready/Wildwood,Rural,BLACK,37,0,PBHP,,0,,
2010-2012,Nevada,114,North Bloomfield/North San Juan/Truckee,Rural,BLACK,6,0,ABR,,0,,
2010-2012,Nevada,114,North Bloomfield/North San Juan/Truckee,Rural,BLACK,6,0,PRB,,0,,
2010-2012,Nevada,114,North Bloomfield/North San Juan/Truckee,Rural,BLACK,6,0,PBHP,,0,,
2010-2012,Orange,115.2c,Aliso Viejo/Laguna Hills/Laguna Niguel,Urban,BLACK,190,0,ABR,,0,,
2010-2012,Orange,115.2c,Aliso Viejo/Laguna Hills/Laguna Niguel,Urban,BLACK,190,0,PRB,,0,,
2010-2012,Orange,115.2c,Aliso Viejo/Laguna Hills/Laguna Niguel,Urban,BLACK,190,0,PBHP,,0,,
2010-2012,Orange,115.2d,Laguna Beach/Laguna Woods,Urban,BLACK,35,0,ABR,,0,,
2010-2012,Orange,115.2d,Laguna Beach/Laguna Woods,Urban,BLACK,35,0,PRB,,0,,
